ass_ln,stn_no,dt,shift,tgt_prod,act_prod,eff_perc,def_unit,min_threshold,max_cap,stock_avl,downtime_hrs,stn_status,shortages,part_name
Line A,1,1/1/2025,Morning,121,82,67.8,0,21,191,82,1.9,Shortage Pause,42,Engine Oil Filter
Line A,2,1/1/2025,Night,151,146,96.7,1,25,167,146,0.1,Shortage Pause,8,Air Filter
Line A,3,1/1/2025,Morning,83,76,91.6,1,29,150,123,0,Active,0,Spark Plug Set
Line B,1,1/1/2025,Night,96,105,109.4,0,40,232,135,0,Active,0,Brake Pad Set
Line B,2,1/1/2025,Morning,116,124,106.9,0,49,208,135,0,Active,0,Brake Disc
Line B,3,1/1/2025,Night,88,73,83,0,36,157,73,1.4,Shortage Pause,27,Shock Absorber
Line C,1,1/1/2025,Night,165,157,95.2,1,28,185,157,0.2,Shortage Pause,8,Timing Belt
Line C,2,1/1/2025,Night,91,86,94.5,0,20,199,179,0,Active,0,Battery
Line C,3,1/1/2025,Night,121,124,102.5,2,47,176,150,0,Active,0,Headlight Bulb
Line D,1,1/1/2025,Night,105,89,84.8,2,47,161,89,0.3,Shortage Pause,17,Windshield Wiper
Line D,2,1/1/2025,Night,95,93,97.9,0,42,189,142,0,Active,0,Engine Oil Filter
Line D,3,1/1/2025,Morning,76,76,100,0,36,171,125,0,Active,0,Air Filter
Line A,1,1/2/2025,Morning,139,140,100.7,2,21,191,158,0,Active,0,Engine Oil Filter
Line A,2,1/2/2025,Night,140,99,70.7,2,25,167,99,0.5,Shortage Pause,24,Air Filter
Line A,3,1/2/2025,Night,86,47,54.7,0,29,150,47,0.8,Shortage Pause,29,Spark Plug Set
Line B,1,1/2/2025,Morning,93,88,94.6,0,40,232,186,0,Active,0,Brake Pad Set
Line B,2,1/2/2025,Night,101,11,10.9,0,49,208,11,5,Shortage Pause,78,Brake Disc
Line B,3,1/2/2025,Morning,74,65,87.8,0,36,157,106,0,Active,0,Shock Absorber
Line C,1,1/2/2025,Night,158,123,77.8,4,28,185,123,0.4,Shortage Pause,27,Timing Belt
Line C,2,1/2/2025,Night,77,64,83.1,0,20,199,93,0,Active,0,Battery
Line C,3,1/2/2025,Morning,107,94,87.9,1,47,176,122,0,Active,0,Headlight Bulb
Line D,1,1/2/2025,Night,90,0,0,0,47,161,0,4.9,Shortage Pause,85,Windshield Wiper
Line D,2,1/2/2025,Night,82,49,59.8,0,42,189,49,1,Shortage Pause,33,Engine Oil Filter
Line D,3,1/2/2025,Night,75,49,65.3,1,36,171,49,1,Shortage Pause,22,Air Filter
Line A,1,1/3/2025,Night,127,18,14.2,1,21,191,18,4.5,Shortage Pause,115,Engine Oil Filter
Line A,2,1/3/2025,Night,155,118,76.1,5,25,167,118,0.4,Shortage Pause,17,Air Filter
Line A,3,1/3/2025,Morning,95,92,96.8,2,29,150,116,0,Active,0,Spark Plug Set
Line B,1,1/3/2025,Night,91,91,100,1,40,232,98,0,Active,0,Brake Pad Set
Line B,2,1/3/2025,Night,128,0,0,0,49,208,0,2.9,Shortage Pause,118,Brake Disc
Line B,3,1/3/2025,Night,6,0,0,0,36,157,41,1.6,Paused,0,Shock Absorber
Line C,1,1/3/2025,Night,147,116,78.9,8,28,185,116,0.6,Shortage Pause,17,Timing Belt
Line C,2,1/3/2025,Morning,82,29,35.4,0,20,199,29,3.5,Shortage Pause,59,Battery
Line C,3,1/3/2025,Night,140,28,20,1,47,176,28,3.4,Shortage Pause,91,Headlight Bulb
Line D,1,1/3/2025,Night,118,81,68.6,4,47,161,81,1,Shortage Pause,49,Windshield Wiper
Line D,2,1/3/2025,Night,77,73,94.8,1,42,189,89,0,Active,0,Engine Oil Filter
Line D,3,1/3/2025,Night,78,0,0,0,36,171,0,3.3,Shortage Pause,91,Air Filter
Line A,1,1/4/2025,Night,94,0,0,0,21,191,0,3,Shortage Pause,95,Engine Oil Filter
Line A,2,1/4/2025,Night,149,141,94.6,2,25,167,150,0,Active,0,Air Filter
Line A,3,1/4/2025,Night,85,83,97.6,1,29,150,104,0,Active,0,Spark Plug Set
Line B,1,1/4/2025,Morning,87,7,8,0,40,232,7,2.4,Shortage Pause,79,Brake Pad Set
Line B,2,1/4/2025,Night,107,105,98.1,0,49,208,108,0,Active,0,Brake Disc
Line B,3,1/4/2025,Morning,88,41,46.6,2,36,157,41,1.9,Shortage Pause,47,Shock Absorber
Line C,1,1/4/2025,Morning,163,155,95.1,1,28,185,155,0.4,Shortage Pause,30,Timing Belt
Line C,2,1/4/2025,Night,92,98,106.5,0,20,199,184,0,Active,0,Battery
Line C,3,1/4/2025,Morning,142,0,0,0,47,176,0,4.4,Shortage Pause,134,Headlight Bulb
Line D,1,1/4/2025,Night,109,96,88.1,0,47,161,96,0.8,Shortage Pause,26,Windshield Wiper
Line D,2,1/4/2025,Night,82,87,106.1,1,42,189,127,0,Active,0,Engine Oil Filter
Line D,3,1/4/2025,Night,68,0,0,0,36,171,0,3.9,Shortage Pause,63,Air Filter
Line A,1,1/5/2025,Morning,110,115,104.5,0,21,191,158,0,Active,0,Engine Oil Filter
Line A,2,1/5/2025,Night,137,9,6.6,0,25,167,9,2.2,Shortage Pause,127,Air Filter
Line A,3,1/5/2025,Morning,90,21,23.3,0,29,150,21,2.3,Shortage Pause,73,Spark Plug Set
Line B,1,1/5/2025,Night,92,88,95.7,2,40,232,210,0,Active,0,Brake Pad Set
Line B,2,1/5/2025,Night,105,109,103.8,2,49,208,171,0,Active,0,Brake Disc
Line B,3,1/5/2025,Morning,90,87,96.7,1,36,157,124,0,Active,0,Shock Absorber
Line C,1,1/5/2025,Night,15,0,0,0,28,185,128,1.4,Paused,0,Timing Belt
Line C,2,1/5/2025,Night,88,79,89.8,2,20,199,86,0,Active,0,Battery
Line C,3,1/5/2025,Night,126,113,89.7,1,47,176,113,0.1,Shortage Pause,5,Headlight Bulb
Line D,1,1/5/2025,Morning,111,98,88.3,0,47,161,98,1.1,Shortage Pause,22,Windshield Wiper
Line D,2,1/5/2025,Morning,97,40,41.2,1,42,189,40,1.7,Shortage Pause,65,Engine Oil Filter
